"","Horse (Age, Color, Sex)",,,,,,,,,,
"",Sire,,,,,,,,,,
"",Dam,,,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,,Owner,Stallion,Breeder,
"",HP Slick Chick (2014‐Black‐M),Deanna Mixon‐Pietsch,,,,,,,,,
"",Slick By Design,"Sarasota, FL",,,,,,,,,
"",Rods Last Ladybug,Charlie Cole & Jason Smith,Deanna Mixon‐Piestch,,,,,,,,
35,Sharp Rodney,"Pilot Point, TX",HP Slick Chick,,O,17.815,,,,,
"",DR Laughing Irish (2013‐Sorrel‐M),Maesa Kummer,,,,,,,,,
"",Irish Pay,"Grover, CO",,,,,,,,,
"",DR Keep Laughing,Le Roy Du Bray,Maesa Kummer,,,,,,,,
36 Two Eyed Red Buck,,"Mobridge, SD","Grover, CO",A,O,17.824,,,,,
"","Horse (Age, Color, Sex)",,,,,,,,,
"",Sire,,,,,,,,,
"",Dam,,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,Owner,Stallion,Breeder,
"",Promise Me A Jet (2014‐Sorrel‐M),,,,,,,,,
"",Blazin Jetolena,,,,,,,,,
"",GL Famous First Lady,Busby Quarterhorse LLC,Jolene Montgomery,,,,,,,
37 Dash Ta Fame,,"Millsap, TX","Purdon, TX",,O,17.833,,,,
"",VF Highball (2014‐Gray‐S),,,,,,,,,
"",Eddie Stinson,,,,,,,,,
"",High Lois,Victory Farms,Emma Chapman‐Abbott,,,,,,,
38 On A High,,"Ada, OK","Bluffdale, TX",,O,17.861,,,,
"",Bayou Some Socks (2014‐Chetstnut‐M),,,,,,,,,
"",BHR Frenchies Socks,,,,,,,,,
"",Bayou Babs,Chuck & Ronnie Williams,Chris Coffey,,,,,,,
39 Hot Colours,,"Hartsville, TN","Glasgow, KY",,O,17.904,,,,
"",Shezamaximumbugleo (2014‐Sorrel‐M),,,,,,,,,
"",Shawne Bug Leo,,,,,,,,,
"",Ellie May Maxi,Kirby Berry,Maci Berry,,,,,,,
40 Maxi Lena,,"Poolville, TX","Weatherford, TX",,O,17.908,,,,
"",One Slick Contender (2014‐Brown‐M),Clara Morris,,,,,,,,
"",Slick By Design,"Odessa, MO",,,,,,,,
"",Fiery Contender,Terry Vogel,Clara Morris,,,,,,,
41 Title Contender,,"Gainesville, TX","Odessa, MO",A,O,17.973,,,,
"",RDC Django Unreined (2014‐Brown‐S),Curtis D Collier,,,,,,,,
"",PYC Paint Your Wagon,"Hemstead, TX",,,,,,,,
"",RC Back In Black,Jane &/or Ryan Melby,Jane Melby,,,,,,,
42 Ninety Nine Goldmine,,"Bokchito, OK","Burneyville, OK",,O,18.020,,,,
"",Irish I Was Joking (2013‐Sorrel‐G),,,,,,,,,
"",Irish Pay,,,,,,,,,
"",Casas Little Spot,Brandee Wardell,Brandee Wardell,,,,,,,
43 Casa Dee Bar,,"Buffalo, SD","Buffalo, SD",,O,18.072,,,,
"",VF Born Ta Glory (2014‐Palomino‐M),Shank Stephens,,,,,,,,
"",Born Ta Be Famous,"Hinton, OK",,,,,,,,
"",Quint Glory,Victory Farms,Stacy Lynn Eaker,,,,,,,
44,Lanes Leinster,"Ada, OK","Hinton, OK",A,O,18.125,,,,Amateur
"",Packin Smooth Guy (2014‐Palomino‐G),Art Guttersen,,,,,,,,
"",A Smooth Guy,"Greeley, CO",,,,,,,,Carry to Open
"",Packin Honor Jet,Natalie DeKing,Storme Camarillo,,,,,,,
45 Packin Sixes,,"Benton City, WA","Greeley, CO",,O,18.152,,,,Carry to Open
"",Calfee Legend (2014‐Black‐G),,,,,,,,,Youth Incentive
"",Slick By Design,,,,,,,,,
"",Little Rosie O Toole,Tami Micheal Sikes,Jennifer Sharp,,,,,,,
46 Man In The Money,,"Bedias, TX","Montgomery, TX",,O,18.162,,,,
"",Pretty Smooth Guy (2013‐Sorrel‐G),Janesa Lange,,,,,,,,
"",A Smooth Guy,"Belle Fourche, SD",,,,,,,,
"",Hey Pretty Mama,Luther Lange,Janesa Lange,,,,,,,
47,Lucky Joe Lynx,"Wall, SD","Belle Fourche, SD",A,O,18.189,,,,
"",A Smooth Twister (2014‐Gray‐M),Chris Martin/Amy Green,,,,,,,,
"",A Smooth Guy,"Wildwood, MO",,,,,,,,
"",Our Blue Velvet,Julie Wetering,Chris Martin,,,,,,,
48 Perks Alive,,"Parker, SD","Wildwood, MO",,O,18.215,,,,
"",Slicks Lil Amigo (2014‐Bay‐G),Deanna Mixon‐Pietsch,,,,,,,,
"",Slick By Design,"Sarasota, FL",,,,,,,,
"",Bough Chicka Wowwow,Charlie Cole & Jason Smith,Deanna Mixon‐Piestch,,,,,,,
49 Bully Bullion,,"Pilot Point, TX","Sarasota, FL",,O,18.306,,,,
"",VF The Slot Queen (2014‐Palomino‐M),Damon & Donna Hodges,,,,,,,,
"",Eddie Stinson,"Omaha, TX",,,,,,,,
"",VF Shez On Fire,Victory Farms,Ryann Pedone,,,,,,,
50 Bullys On Fire,,"Ada, OK","Sunset, TX",,O,18.589,,,,
"",Justa Kool Guy (2014‐Sorrel‐G),,,,,,,,,
"",BHR Frenchies Socks,,,,,,,,,
"",Justa Sexy Woman,Shawn and Angela Jackson,Emilee Jackson,,,,,,,
51 Dashin Is Easy,,"High Springs, FL","High Springs, FL",A,,18.903,,,,
"",The Goodbye Bars (2013‐Chestnut‐G),Buffy Walchli,,,,,,,,
"",The Goodbye Lane,"Shelley, ID",,,,,,,,
"",Bam Bam Bars,Lacey Morse,SheyAnn Walchli,,,,,,,
52 Macho Jake,,"Randolph, UT","Shelley, ID",A,O,19.090,,,,
"",Toyn With The Guys (2013‐Buckskin‐M),Courtney L Adair,,,,,,,,
"",A Smooth Guy,"Stephenville, TX",,,,,,,,
"",Toi Joi,Mykayla B Lockhart,Courtney L Adair,,,,,,,
53 Toi Caballo,,"Liberty Hill, TX","Stephenville, TX",A,,19.282,,,,
"",Dance By Design (2014‐Bay‐M),Monica Doppel,,,,,,,,
"",Slick By Design,"Snohomish, WA",,,,,,,,
"",Shes My Sharona,Kristin K Peterson Smith,Jolene Wester Jones,,,,,,,
54 Belong To Me,,"Covington, TX","Pilot Piont, TX",,,19.458,,,,
"","Horse (Age, Color, Sex)",,,,,,,,,,,
"",Sire,,,,,,,,,,,
"",Dam,,,,,,,,,,,
"#",Dam's Sire,,Owner / Breeder,Rider,,,,1st Go,Owner,Stallion,Breeder,
"",Blazin Nonstop (2013‐Bay‐M),,,,,,,,,,,
"",Blazin Jetolena,,,,,,,,,,,
"",Amelias Nonstop Hope,,Robyn Jacob,Robyn Jacob,,,,,,,,
55,Furyofthewind,,"Carmine, TX","Carmine, TX",A,,,19.935,,,,
"",Irish Ivy (2013‐Sorrel‐M),,Thomas & Lainee Sampson,,,,,,,,,
"",Irish Pay,,"Interior, SD",,,,,,,,,
"",Ms Bay Rooster,,Lucey Quarter Horses,Cooper Sampson,,,,,,,,
56,Senor Gallo Rojo,,"Hot Springs, SD","Interior, SD",A,O,Y,20.137,,,,
"",Mr Jo Stinson (2013‐Gray‐G),,Tony Langdon,,,,,,,,,
"",Eddie Stinson,,"Aubrey, TX",,,,,,,,,
"",Blazin Mollie Jo,,Danny K Carroll,Taylor Langdon,,,,,,,,
57 Chicks A Blazin,,,"Raymore, MI","Aubrey, TX",,O,,20.257,,,,
"",Blurry Bug Leo (2014‐Brown‐G),,Todd & Andrea Cline,,,,,,,,,
"",Shawne Bug Leo,,"Springton, TX",,,,,,,,,
"",CP Murrtal,,Sheila Hill,Andrea Cline,,,,,,,,
58 Dash Ta Fame,,,"Saint Anthony, ID","Springton, TX",,O,,21.091,,,,
"",Run Leo Run (2014‐Bay‐G),,Joe Spitz,,,,,,,,,
"",Shawne Bug Leo,,"Lamar, CO",,,,,,,,,
"",Bolders Runner,,Sheryl Gamboa,Joy Wargo,,,,,,,,
59,Sixarun,,"Waskom, TX","Collinsville, TX",,O,,22.088,,,,
"",Tee It Up In My Sox (2014‐Chestnut‐M),,,,,,,,,,,
"",BHR Frenchies Socks,,,,,,,,,,,
"",BA Tee It Up Ta Fame,,Kathy Donegan,Lacey Harmon,,,,,,,,
60 Tee It Up In My Sox,,,"Bluff Dale, TX","Morgan Mill, TX",,O,,22.229,,,,
"",Sheez Strait Stinson (2014‐Sorrel‐M),,Kayla Jones,,,,,,,,,
"",Eddie Stinson,,"Watkins, CO",,,,,,,,,
"",Sheeza Hank Baby,,Hallie Bradford,Kayla Jones,,,,,,,,
61,Letta Hank Do It,,"Kountze, TX","Watkins, CO",,O,,22.344,,,,
"",RP Dashinoutamysocks (2014‐Sorrel‐M),,,,,,,,,,,
"",BHR Frenchies Socks,,,,,,,,,,,
"",Dashin Julene.,,Roger Primm,Kristin Weaver‐Brown,,,,,,,,
62 Dash Ta Fame,,,"Washoe Valley, NV","Temecula, CA",,O,,22.372,,,,Amateur
"",Mr Sassy Frenchman *PBS (2013‐Palomino‐S),,Bill & Deb Myers,,,,,,,,,
"",Frenchmans Guy,,"Saint Onge, SD",,,,,,,,,Carry to Open
"",Jess Sass Me,,Speed LLC,Craig Stritzke,,,,,,,,
63 Mr Jess Perry,,,"Riverton, UT","Tremonton, UT",,O,,22.390,,,,Carry to Open
"",The Tiny Vaquero (2013‐Bay‐G),,,,,,,,,,,Youth Incentive
"",The Goodbye Lane,,,,,,,,,,,
"",Strangles,,Mark & Linda Jarvis,Gracie Beckstrom,,,,,,,,
64 Merridoc,,,"Spanish Fork, UT","Spanish Fork, UT",A,O,,22.522,,,,
"",VF Chasin Cans (2014‐Bay‐M),,,,,,,,,,,
"",Eddie Stinson,,,,,,,,,,,
"",Chase This Ivory,,Victory Farms,Emma Chapman‐Abbott,,,,,,,,
65,Ivory James,,"Ada, OK","Bluffdale, TX",,O,,22.538,,,,
"",Guyz Smooth Amber  (2013‐Bay‐M),,Harry LaToush,,,,,,,,,
"",A Smooth Guy,,"Scott City, KS",,,,,,,,,
"",Amber Holland,,Bill or Debbie Myers,Craig Stritzke,,,,,,,,
66 Holland Ease,,,"Saint Onge, SD","Tremonton, UT",,O,,22.582,,,,
"",VF Hot Tamale (2014‐Sorrel‐G),,Randall Hartley,,,,,,,,,
"",Eddie Stinson,,"Ocala, FL",,,,,,,,,
"",Royal Sisters Hot,,Victory Farms,Emma Chapman‐Abbott,,,,,,,,
67 Royal Quick Dash,,,"Ada, OK","Bluffdale, TX",,O,,22.666,,,,
"",BCK Dally N Sunshine (2013‐ Palomino‐M),,Brent Wonnacott,,,,,,,,,
"",PC Redwood Manny,,"Bluffdale, UT",,,,,,,,,
"",PH Jazzy Judy,,Dawson Seeley,Kallie Wright,,,,,,,,
68 Tuff Buddy Cash,,,"Spanish Fork, UT","Milford, UT",,O,,22.700,,,,
"",Pays To Be Blue (2013‐Blue Roan‐G),,Suzanne Mosley,,,,,,,,,
"",Irish Pay,,"Cresson, TX",,,,,,,,,
"",Dr Miss Sparks,,Le Roy Du Bray,Kay Blandford,,,,,,,,
69,Smoke N Sparks,,"Mobridge, SD","Sutherland Springs, TX",,O,,22.837,,,,
"",American PYC (2013‐Bay‐M),,Melissa Brandt,,,,,,,,,
"",PYC Paint Your Wagon,,"Hermosa, SD",,,,,,,,,
"",American Dove,,A C Taylor,Melissa Brandt,,,,,,,,
70 Toast To Dash,,,"Seminole, OK","Hermosa, SD",,O,,22.927,,,,
"",Who Said What (2014‐‐Bay‐G),,Rayme Jones,,,,,,,,,
"",PYC Paint Your Wagon,,"Lamesa, TX",,,,,,,,,
"",Dolls Regal Choice,,Thomas H Bradbury,Rayme Jones,,,,,,,,
71 A Regal Choice,,,"Byers, CO","Lamesa, TX",A,O,,23.124,,,,
"",Born A Famous Gal (2013‐Chestnut‐M),,Rick Manucy,,,,,,,,,
"",Born Ta Be Famous,,"Buckeye, AZ",,,,,,,,,
"",Proudest Surprise,,Richard Armstrong,Rick Manucy,,,,,,,,
72 Proudest Effort,,,"Las Vegas, NV","Buckeye, AZ",,O,,24.032,,,,
"","Horse (Age, Color, Sex)",,,,,,,,
"",Sire,,,,,,,,
"",Dam,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,Owner,Stallion,Breeder
"",Patches O Houlihan (2013‐Bay‐M),,,,,,,,
"",PC Redwood Manny,,,,,,,,
"",Patchs April Gem,Dawson Seeley,Kelsey Hayden,,,,,,
73 Tiny Patch,,"Spanish Fork, UT","Hanford, LA",A,O,30.174,,,
"",HP Dash Ta Fiesta *PBS (2013‐Sorrel‐S),Charlie Cole/Jason Martin,,,,,,,
"",Dash Ta Fame,"Pilot Point, TX",,,,,,,
"",Firewater Fiesta,Kelly Ann Yates,Ryann Pedone,,,,,,
74 Fire Water Flit,,"Pueblo, CO","Sunset, TX",,O,999.000,,,
"",Dats A Gin Fizz (2013‐Chestnut‐M),Shawna or Kelli Barichello,,,,,,,
"",Dats A Frenchman,"Kennewick, WA",,,,,,,
"",Regal Ginnie,Tony & Kay Anderson,Kelli Barichello,,,,,,
75 Regal Legacy,,"Winchester, ID","Kennewick, WA",,O,999.000,,,
"",Flit To Be Famous (2014‐Sorrel‐G),Wendy Cline,,,,,,,
"",Eddie S nson,"Hempstead, TX",,,,,,,
"",Pepoleo Flit,Thomas O'Neal,Chelsea Jepperson,,,,,,
76 Fire Water Flit,,"C houdrant, LA","Genola, UT",,O,999.000,,,
